id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
293,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,46641,ORANG,2023/2024
294,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,17149,ORANG,2023/2024
295,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,48963,ORANG,2023/2024
296,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,13474,ORANG,2023/2024
297,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,34376,ORANG,2023/2024
298,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,6335,ORANG,2023/2024
299,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,71442,ORANG,2023/2024
300,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,20624,ORANG,2023/2024
301,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,88137,ORANG,2023/2024
302,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,44929,ORANG,2023/2024
303,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,42043,ORANG,2023/2024
304,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,23223,ORANG,2023/2024
305,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,11404,ORANG,2023/2024
306,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,1875,ORANG,2023/2024
307,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,19605,ORANG,2023/2024
308,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,23721,ORANG,2023/2024
309,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,13067,ORANG,2023/2024
310,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,3035,ORANG,2023/2024
311,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,59614,ORANG,2023/2024
312,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,40106,ORANG,2023/2024
313,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,14533,ORANG,2023/2024
