id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
19328,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 1 KARANGSAMBUNG,20224371,NEGERI,JL. KH KHOER AFFANDI NO. 164,2023
19329,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 1 KERSANAGARA,20224386,NEGERI,JL. BANTARGEDANG NO. 19,2023
1933,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI SELAGOMBONG,20202430,NEGERI,KP. SELAGOMBONG,2023
19330,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 1 SILUMAN,20224667,NEGERI,JL. SULE SETIANEGARA NO 81,2023
19331,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 2 AWIPARI,20224496,NEGERI,KP. KERTASARI,2023
19332,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 2 KARANGSAMBUNG,20224370,NEGERI,JL. KH. KHOER AFFANDI NO. 170,2023
19333,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 2 KERSANAGARA,20224387,NEGERI,JL. BANTARGEDANG,2023
19334,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 2 SILUMAN,20224616,NEGERI,JL. RAJAWALI KP. GUNUNG KIALIR,2023
19335,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 3 KARANGSAMBUNG,20224369,NEGERI,CIBANGUN RT.02/09,2023
19336,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 4 KARANGSAMBUNG,20224368,NEGERI,"KP,CIAKAR",2023
